Voltage_at_plug	Car_cranks	Spark_plugs	Spark_quality	Distributer	Spark_timing	Car_starts	Headlights	Alternator	Charging_system	Battery_voltage	Battery_age	Main_fuse	Starter_system	Starter_motor
1	1	3	1	2	2	1	1	2	1	1	2	2	1	2
3	1	1	2	2	3	1	3	2	2	3	1	2	2	2
3	2	3	3	2	3	2	3	2	2	3	2	2	2	2
1	1	1	1	2	3	1	1	2	1	1	2	2	1	2
3	2	3	3	2	3	2	3	2	2	3	1	2	2	2
1	1	3	1	2	3	1	1	2	1	1	3	2	1	2
1	1	3	1	2	3	1	1	2	1	1	1	2	1	2
1	1	3	1	2	3	1	1	2	1	1	1	2	1	2
1	1	3	1	2	3	1	1	2	1	1	2	2	1	2
3	1	3	3	2	3	1	3	2	2	3	1	2	2	2
3	2	3	3	2	3	2	3	2	2	3	1	2	2	2
3	1	3	3	2	3	1	3	2	2	3	1	2	2	2
1	1	2	1	2	3	1	1	2	1	1	1	2	1	2
1	1	3	1	2	3	1	1	2	1	1	1	2	1	2
1	2	3	1	2	3	1	1	2	1	1	1	2	2	2
1	1	1	1	2	3	1	1	2	1	1	1	2	1	2
1	1	3	1	2	3	1	1	2	1	1	1	2	1	2
3	1	1	2	2	3	1	3	2	2	3	1	2	2	2
1	1	1	1	2	3	1	1	2	1	1	1	2	1	2
3	2	3	3	2	2	2	3	2	2	3	2	2	2	2
1	1	3	1	2	3	1	1	2	1	1	3	2	1	2
3	2	3	3	2	3	2	3	2	2	3	1	2	2	2
3	2	2	2	2	3	1	3	2	2	3	1	2	2	2
2	2	1	1	2	3	1	2	2	1	2	1	2	2	2
1	1	3	1	2	2	1	1	2	1	1	1	2	1	2
1	1	3	1	2	2	1	3	2	2	3	1	1	1	2
1	1	1	1	2	3	1	1	2	1	1	1	2	2	2
3	1	3	3	2	3	1	3	2	2	3	1	2	2	2
2	2	3	2	2	3	1	2	2	2	2	3	2	2	2
1	1	3	1	2	3	1	1	2	1	1	2	2	1	2
1	1	1	1	2	3	1	1	2	1	1	1	2	1	2
3	2	3	3	2	3	2	2	2	2	3	1	2	1	2
1	1	3	1	2	3	1	1	2	1	1	1	2	1	2
3	1	1	2	2	3	1	3	2	2	3	1	2	2	2
2	2	3	2	2	3	1	2	2	2	2	2	2	2	2
1	2	3	1	2	3	1	2	2	2	2	1	2	2	2
1	1	3	1	2	3	1	1	2	1	1	1	2	1	2
2	2	3	2	2	3	2	2	2	2	2	1	2	2	2
1	1	3	1	2	3	1	1	2	1	1	2	2	2	2
1	1	3	1	2	3	1	1	2	1	1	1	2	1	2
3	2	1	2	2	3	1	3	2	2	3	1	2	2	2
1	1	3	1	2	3	1	1	2	1	1	2	2	1	2
1	1	3	1	2	3	1	1	2	2	1	2	2	1	2
3	1	3	3	2	3	1	3	2	2	3	1	2	2	2
3	2	1	2	2	3	2	3	2	2	3	1	2	2	2
3	2	3	3	2	3	2	3	2	2	3	1	2	2	2
3	2	3	3	2	2	2	3	2	2	3	1	2	2	2
3	2	3	3	2	2	2	3	2	2	3	1	2	2	2
1	2	3	1	2	3	1	1	2	1	1	1	2	1	2
1	2	1	1	2	3	1	1	2	1	1	1	2	2	2
3	2	1	2	2	3	1	3	2	2	3	1	2	2	2
1	1	2	1	2	3	1	1	2	1	1	1	2	1	2
2	2	3	2	2	3	1	2	2	2	2	3	2	2	2
3	2	3	3	2	3	2	3	2	2	3	1	2	2	2
3	2	3	3	2	3	2	3	2	2	3	1	2	2	2
3	2	3	3	2	3	2	3	2	2	3	1	2	2	2
3	2	2	2	2	3	1	3	2	2	3	1	2	2	2
3	1	2	2	2	2	1	3	2	2	3	1	2	2	2
2	2	1	1	2	3	1	2	2	2	2	1	2	2	2
2	2	3	2	2	3	2	3	2	2	3	2	2	2	2
1	1	2	1	2	3	1	1	2	1	1	1	2	1	2
1	1	3	1	2	2	1	1	2	1	1	1	2	1	2
1	1	3	1	2	2	1	1	2	1	1	1	2	1	2
3	1	1	2	2	3	1	3	2	2	3	1	2	2	2
2	2	3	2	2	3	2	2	2	2	2	2	2	2	2
1	1	3	1	2	3	1	1	2	2	1	1	2	1	2
3	2	3	3	2	3	2	3	2	2	3	2	2	2	2
3	2	3	3	2	3	2	3	2	2	3	1	2	2	2
3	2	3	3	2	3	2	3	2	2	3	1	2	2	2
3	2	3	3	2	3	2	3	2	2	3	2	2	2	2
2	2	2	1	2	3	1	3	2	2	3	1	2	2	2
1	1	3	1	2	2	1	1	2	1	1	3	2	1	2
3	2	3	3	2	3	2	3	2	2	3	1	2	2	2
1	1	1	1	2	3	1	1	2	1	1	1	2	1	2
2	2	3	2	2	3	2	2	2	2	2	1	2	2	2
1	1	3	1	2	3	1	1	2	1	1	1	2	1	2
1	2	3	1	2	3	1	3	2	2	3	1	2	2	2
